eventId,name,startTime,endTime,status
EV-001,Flash Sale 10:00,2025-06-01 10:00:00,2025-06-01 12:00:00,ACTIVE
EV-002,Flash Sale 11:00,2025-06-02 11:00:00,2025-06-02 13:00:00,ACTIVE
EV-003,Flash Sale 12:00,2025-06-03 12:00:00,2025-06-03 14:00:00,ACTIVE
EV-004,Flash Sale 13:00,2025-06-04 13:00:00,2025-06-04 15:00:00,ACTIVE
EV-005,Flash Sale 14:00,2025-06-05 14:00:00,2025-06-05 16:00:00,ACTIVE
EV-006,Flash Sale 15:00,2025-06-06 15:00:00,2025-06-06 17:00:00,ACTIVE
EV-007,Flash Sale 16:00,2025-06-07 16:00:00,2025-06-07 18:00:00,ACTIVE
EV-008,Flash Sale 17:00,2025-06-08 17:00:00,2025-06-08 19:00:00,ACTIVE
EV-009,Flash Sale 18:00,2025-06-09 18:00:00,2025-06-09 20:00:00,ACTIVE
EV-010,Flash Sale 19:00,2025-06-10 19:00:00,2025-06-10 21:00:00,ACTIVE
