itemId,productId,eventId,productName,originalPrice,salePrice,initialStock,soldQty,version
FI-00001,P-04084,EV-001,Apple Chuot Gaming Plus,810000,502248,109,0,0
FI-00002,P-00540,EV-004,Apple Quat Mini Ultra,2125000,940223,55,0,0
FI-00003,P-03175,EV-005,JBL Giay XL,571000,222683,107,0,0
FI-00004,P-03082,EV-009,JBL Ao Thun Lite,2925000,1458800,46,0,0
FI-00005,P-04704,EV-010,Anker Op Lung Classic,1583000,1097877,129,0,0
FI-00006,P-03315,EV-006,JBL Sac Du Phong V2,470000,253920,184,0,0
FI-00007,P-03497,EV-006,Anker Sac Du Phong Mini,707000,395370,155,0,0
FI-00008,P-04970,EV-009,Sony May Anh Lite,2982000,1650993,46,0,0
FI-00009,P-03348,EV-010,HP Dong Ho Classic,2124000,1461559,186,0,0
FI-00010,P-00282,EV-005,Sony Cap Sac Classic,1139000,730555,27,0,0
FI-00011,P-04315,EV-004,JBL Dong Ho Plus,1782000,621295,138,0,0
FI-00012,P-04426,EV-010,Asus USB Hub V2,2981000,1205225,111,0,0
FI-00013,P-02343,EV-001,Samsung Ban Phim Sport,866000,476926,174,0,0
FI-00014,P-03746,EV-003,Sony Ao Thun Ultra,1005000,585642,187,0,0
FI-00015,P-00784,EV-002,Logitech Sac Du Phong Premium,1043000,447500,200,0,0
FI-00016,P-02373,EV-001,Razer Ban Phim Classic,1559000,609363,24,0,0
FI-00017,P-03705,EV-010,Samsung Op Lung Sport,1214000,636261,41,0,0
FI-00018,P-02324,EV-003,Apple Quat Mini Plus,2223000,1493817,21,0,0
FI-00019,P-00536,EV-003,HP Kinh Mat Ultra,2002000,1395047,37,0,0
FI-00020,P-01053,EV-005,Sony Laptop Ultra,971000,420993,27,0,0
FI-00021,P-00778,EV-007,Samsung Tai Nghe Mini,421000,220063,96,0,0
FI-00022,P-00136,EV-007,Apple Cap Sac Classic,2777000,1602937,36,0,0
FI-00023,P-00500,EV-001,Anker Kinh Mat Ultra,1033000,423751,162,0,0
FI-00024,P-00823,EV-009,JBL Tai Nghe Pro Max,977000,305878,107,0,0
FI-00025,P-03477,EV-010,Asus Balo XL,1940000,1091631,105,0,0
FI-00026,P-00483,EV-002,JBL Ong Nhom Classic,2572000,1140341,158,0,0
FI-00027,P-04279,EV-004,JBL USB Hub Plus,2308000,1138688,60,0,0
FI-00028,P-03154,EV-006,Anker Ao Thun Ultra,2799000,1456406,58,0,0
FI-00029,P-00295,EV-002,Xiaomi Op Lung Sport,2615000,1322244,81,0,0
FI-00030,P-01442,EV-010,JBL Sac Du Phong Classic,2077000,1129606,26,0,0
FI-00031,P-00985,EV-009,Samsung Sac Du Phong Classic,1596000,991746,196,0,0
FI-00032,P-00825,EV-010,Xiaomi USB Hub Plus,2866000,1095326,180,0,0
FI-00033,P-01824,EV-006,Anker Dong Ho Classic,1777000,863157,107,0,0
FI-00034,P-04163,EV-006,Razer Laptop V2,783000,392032,173,0,0
FI-00035,P-00475,EV-002,Xiaomi Loa V2,2280000,1061354,147,0,0
FI-00036,P-04613,EV-009,Samsung Ong Nhom Sport,367000,147240,77,0,0
FI-00037,P-04832,EV-001,Logitech Dong Ho Pro Max,1352000,421985,157,0,0
FI-00038,P-02466,EV-004,HP Webcam Premium,2622000,1426214,108,0,0
FI-00039,P-02543,EV-003,Asus Tablet Mini,1116000,508707,109,0,0
FI-00040,P-00728,EV-006,Logitech Chuot Gaming Classic,1313000,645870,47,0,0
FI-00041,P-04287,EV-006,Asus Ong Nhom Mini,2393000,1131643,85,0,0
FI-00042,P-03228,EV-009,Razer Webcam Pro Max,1102000,697274,78,0,0
FI-00043,P-00901,EV-004,Sony Kinh Mat XL,2855000,1743317,49,0,0
FI-00044,P-03640,EV-010,Asus Tablet Premium,171000,111556,32,0,0
FI-00045,P-02000,EV-003,Xiaomi Tai Nghe Classic,215000,67691,125,0,0
FI-00046,P-03299,EV-002,Sony Sac Du Phong V2,2395000,1249217,128,0,0
FI-00047,P-03926,EV-002,Sony Tablet Lite,2623000,1007095,77,0,0
FI-00048,P-04387,EV-002,Logitech Balo Plus,765000,290270,189,0,0
FI-00049,P-00476,EV-010,Xiaomi Chuot Gaming Ultra,197000,104850,76,0,0
FI-00050,P-03770,EV-005,Xiaomi May Anh Ultra,1569000,992430,64,0,0
FI-00051,P-02222,EV-010,JBL Chuot Gaming Sport,2171000,1085761,186,0,0
FI-00052,P-02581,EV-001,Sony Ong Nhom Plus,888000,547984,18,0,0
FI-00053,P-02045,EV-002,HP May Anh XL,2774000,1305942,181,0,0
FI-00054,P-02973,EV-005,Logitech Cap Sac Premium,521000,354462,23,0,0
FI-00055,P-03381,EV-002,Anker Monitor Lite,748000,427442,156,0,0
