detailId,orderId,productId,quantity,unitPrice,subtotal
D-000001,O-001852,P-01443,4,448000,1792000
D-000002,O-001323,P-03869,2,1215000,2430000
D-000003,O-000764,P-03326,4,238000,952000
D-000004,O-000028,P-00304,4,2756000,11024000
D-000005,O-000453,P-03669,1,1029000,1029000
D-000006,O-000996,P-00726,4,1107000,4428000
D-000007,O-000485,P-01294,4,763000,3052000
D-000008,O-000313,P-03714,1,2090000,2090000
D-000009,O-001911,P-03268,3,349000,1047000
D-000010,O-002492,P-03052,5,2333000,11665000
D-000011,O-001222,P-02021,4,734000,2936000
D-000012,O-000165,P-03533,4,1374000,5496000
D-000013,O-001266,P-01573,3,2364000,7092000
D-000014,O-001402,P-01851,4,2061000,8244000
D-000015,O-000414,P-01415,4,2895000,11580000
D-000016,O-001793,P-02368,5,1177000,5885000
D-000017,O-001130,P-00732,2,425000,850000
D-000018,O-000254,P-00576,3,717000,2151000
D-000019,O-001787,P-04775,5,1421000,7105000
D-000020,O-000169,P-00911,4,368000,1472000
D-000021,O-000812,P-00128,3,755000,2265000
D-000022,O-000705,P-02307,4,1147000,4588000
D-000023,O-000989,P-03850,1,2036000,2036000
D-000024,O-002156,P-03640,1,2599000,2599000
D-000025,O-000768,P-03411,1,347000,347000
D-000026,O-002095,P-04558,2,2891000,5782000
D-000027,O-001323,P-03762,5,1187000,5935000
D-000028,O-001869,P-03777,3,1608000,4824000
D-000029,O-000619,P-03030,3,1037000,3111000
D-000030,O-000400,P-02359,2,236000,472000
D-000031,O-002299,P-02854,2,2676000,5352000
D-000032,O-001599,P-03685,5,2333000,11665000
D-000033,O-001303,P-01582,1,2069000,2069000
D-000034,O-002240,P-02356,3,2150000,6450000
D-000035,O-002403,P-02215,2,1715000,3430000
D-000036,O-000751,P-02503,5,2414000,12070000
D-000037,O-000480,P-04820,3,378000,1134000
D-000038,O-001192,P-03077,2,1847000,3694000
D-000039,O-001812,P-00700,2,2855000,5710000
D-000040,O-001004,P-00824,4,1467000,5868000
D-000041,O-001035,P-01261,5,852000,4260000
D-000042,O-000235,P-02835,4,2037000,8148000
D-000043,O-000124,P-03728,3,1762000,5286000
D-000044,O-000375,P-01129,1,2345000,2345000
D-000045,O-001609,P-04097,3,1685000,5055000
D-000046,O-001077,P-03151,4,1226000,4904000
D-000047,O-001980,P-04452,2,1181000,2362000
D-000048,O-000979,P-00154,3,1723000,5169000
D-000049,O-001362,P-00288,4,1865000,7460000
D-000050,O-001291,P-03153,3,174000,522000
D-000051,O-001099,P-02619,1,1964000,1964000
D-000052,O-001892,P-04602,5,76000,380000
D-000053,O-002279,P-03758,3,2269000,6807000
D-000054,O-002112,P-04862,5,275000,1375000
D-000055,O-002071,P-02934,2,251000,502000
D-000056,O-000822,P-04950,2,959000,1918000
D-000057,O-001363,P-03539,5,823000,4115000
D-000058,O-001302,P-01906,2,2222000,4444000
D-000059,O-000601,P-03171,4,685000,2740000
D-000060,O-001192,P-00630,4,2619000,10476000
D-000061,O-000777,P-02177,5,1546000,7730000
D-000062,O-001570,P-00861,5,1321000,6605000
D-000063,O-000213,P-01191,4,1102000,4408000
D-000064,O-001723,P-02461,5,78000,390000
D-000065,O-001167,P-04292,5,234000,1170000
D-000066,O-002116,P-04513,2,1268000,2536000
D-000067,O-001703,P-01934,5,85000,425000
D-000068,O-000620,P-04052,1,2542000,2542000
D-000069,O-001429,P-02855,2,205000,410000
D-000070,O-001994,P-00644,5,2239000,11195000
D-000071,O-000488,P-03284,1,1238000,1238000
D-000072,O-001176,P-01989,5,1728000,8640000
D-000073,O-001666,P-03162,2,2834000,5668000
D-000074,O-002204,P-04719,1,75000,75000
D-000075,O-000054,P-03991,5,997000,4985000
D-000076,O-000433,P-03111,2,2354000,4708000
D-000077,O-000128,P-00579,2,807000,1614000
D-000078,O-001577,P-00175,1,1614000,1614000
D-000079,O-001797,P-00339,3,1643000,4929000
D-000080,O-000796,P-01280,5,865000,4325000
D-000081,O-001941,P-01046,5,769000,3845000
D-000082,O-001714,P-00618,3,1064000,3192000
D-000083,O-000315,P-01260,1,1582000,1582000
D-000084,O-001595,P-03729,4,1411000,5644000
D-000085,O-001142,P-01868,5,661000,3305000
D-000086,O-002443,P-00071,5,1001000,5005000
D-000087,O-001021,P-03113,2,1864000,3728000
D-000088,O-000125,P-03601,1,2337000,2337000
D-000089,O-000266,P-03654,3,2688000,8064000
D-000090,O-000728,P-04571,5,2249000,11245000
D-000091,O-001671,P-04915,2,1924000,3848000
D-000092,O-001395,P-03202,3,2628000,7884000
D-000093,O-002357,P-03235,4,2413000,9652000
D-000094,O-000649,P-01724,2,2594000,5188000
D-000095,O-000631,P-00677,3,2824000,8472000
D-000096,O-001971,P-01414,3,105000,315000
D-000097,O-001398,P-02178,2,2073000,4146000
D-000098,O-002248,P-02606,3,1550000,4650000
D-000099,O-001973,P-02982,5,212000,1060000
D-000100,O-002407,P-00969,3,1927000,5781000
D-000101,O-001975,P-00184,2,2828000,5656000
D-000102,O-001132,P-04784,2,2745000,5490000
D-000103,O-001189,P-04605,5,1854000,9270000
D-000104,O-000125,P-00150,3,2856000,8568000
D-000105,O-002166,P-03131,1,796000,796000
D-000106,O-001389,P-00954,4,1479000,5916000
D-000107,O-002151,P-04553,5,640000,3200000
D-000108,O-000868,P-04897,2,192000,384000
D-000109,O-000585,P-03204,2,410000,820000
D-000110,O-001198,P-03345,2,975000,1950000
D-000111,O-001654,P-03004,1,370000,370000
D-000112,O-000294,P-00464,4,2568000,10272000
D-000113,O-000124,P-04779,4,1934000,7736000
D-000114,O-001531,P-00408,4,356000,1424000
D-000115,O-000929,P-04315,3,1861000,5583000
D-000116,O-000678,P-00125,1,2712000,2712000
D-000117,O-001606,P-02599,1,1857000,1857000
D-000118,O-000003,P-02401,4,1270000,5080000
D-000119,O-000283,P-03245,3,1564000,4692000
D-000120,O-001439,P-01396,2,1756000,3512000
D-000121,O-001666,P-04867,2,2732000,5464000
D-000122,O-001072,P-03023,3,1644000,4932000
D-000123,O-000212,P-01953,2,2117000,4234000
D-000124,O-000805,P-02317,1,1836000,1836000
D-000125,O-000009,P-04913,3,455000,1365000
D-000126,O-000831,P-03721,2,1069000,2138000
D-000127,O-001574,P-03073,1,1231000,1231000
D-000128,O-001999,P-01363,2,1478000,2956000
D-000129,O-002327,P-03676,4,2482000,9928000
D-000130,O-002217,P-03584,1,1100000,1100000
D-000131,O-001811,P-03641,4,2815000,11260000
D-000132,O-000535,P-04803,1,1724000,1724000
D-000133,O-000564,P-00515,5,2040000,10200000
D-000134,O-000822,P-01156,2,982000,1964000
D-000135,O-001902,P-00436,4,2154000,8616000
D-000136,O-000647,P-00387,5,765000,3825000
D-000137,O-001998,P-04509,5,418000,2090000
D-000138,O-002049,P-03356,2,386000,772000
D-000139,O-000584,P-02608,3,839000,2517000
D-000140,O-000465,P-02409,2,2427000,4854000
D-000141,O-001121,P-04309,5,506000,2530000
D-000142,O-001161,P-00007,3,897000,2691000
D-000143,O-000889,P-01920,1,1281000,1281000
D-000144,O-000121,P-00872,2,2191000,4382000
D-000145,O-001714,P-04515,2,2639000,5278000
D-000146,O-000983,P-00775,5,356000,1780000
D-000147,O-001675,P-03704,3,1555000,4665000
D-000148,O-000453,P-01765,4,742000,2968000
D-000149,O-001038,P-03099,4,1204000,4816000
D-000150,O-000510,P-00223,2,1325000,2650000
D-000151,O-001497,P-03173,1,1490000,1490000
D-000152,O-001223,P-01735,3,2314000,6942000
D-000153,O-002054,P-03639,1,2687000,2687000
D-000154,O-000895,P-04360,5,2622000,13110000
D-000155,O-000571,P-03922,2,1157000,2314000
D-000156,O-001033,P-04797,3,2011000,6033000
D-000157,O-001927,P-04728,5,451000,2255000
D-000158,O-001037,P-02745,5,1986000,9930000
D-000159,O-002381,P-00349,1,2774000,2774000
D-000160,O-001049,P-03947,1,125000,125000
