orderId,customerId,orderDate,totalAmount,status
O-000001,C-00539,2025-06-01,2380000,SUCCESS
O-000002,C-01707,2025-06-06,2078000,SUCCESS
O-000003,C-00434,2025-06-10,2360000,SUCCESS
O-000004,C-01249,2025-06-15,2487000,SUCCESS
O-000005,C-01615,2025-06-23,1426000,SUCCESS
O-000006,C-01723,2025-06-30,1573000,SUCCESS
O-000007,C-01028,2025-06-15,3524000,FAILED
O-000008,C-01091,2025-06-04,3212000,SUCCESS
O-000009,C-01031,2025-06-09,3446000,SUCCESS
O-000010,C-01055,2025-06-22,868000,SUCCESS
O-000011,C-01606,2025-06-19,3362000,SUCCESS
O-000012,C-00107,2025-06-19,2480000,SUCCESS
O-000013,C-01341,2025-06-12,3684000,SUCCESS
O-000014,C-00456,2025-06-24,1789000,SUCCESS
O-000015,C-00255,2025-06-24,2043000,SUCCESS
O-000016,C-01128,2025-06-15,3397000,SUCCESS
O-000017,C-01174,2025-06-03,587000,SUCCESS
O-000018,C-01017,2025-06-18,4054000,SUCCESS
O-000019,C-00714,2025-06-18,3960000,SUCCESS
O-000020,C-01826,2025-06-04,2651000,SUCCESS
O-000021,C-00495,2025-06-21,2420000,SUCCESS
O-000022,C-00871,2025-06-22,118000,SUCCESS
O-000023,C-01658,2025-06-25,4684000,FAILED
O-000024,C-00417,2025-06-30,2660000,SUCCESS
O-000025,C-01105,2025-06-11,2592000,SUCCESS
O-000026,C-00288,2025-06-06,2246000,SUCCESS
O-000027,C-00177,2025-06-11,3970000,FAILED
O-000028,C-01477,2025-06-01,4340000,SUCCESS
O-000029,C-01370,2025-06-26,2545000,SUCCESS
O-000030,C-01957,2025-06-17,2676000,SUCCESS
O-000031,C-00896,2025-06-03,3265000,SUCCESS
O-000032,C-00735,2025-06-18,3914000,SUCCESS
O-000033,C-01788,2025-06-21,4545000,SUCCESS
O-000034,C-00682,2025-06-11,3182000,SUCCESS
O-000035,C-01255,2025-06-09,3182000,SUCCESS
O-000036,C-01987,2025-06-09,4951000,SUCCESS
O-000037,C-01973,2025-06-07,789000,SUCCESS
O-000038,C-01428,2025-06-16,2770000,SUCCESS
O-000039,C-01782,2025-06-09,191000,FAILED
O-000040,C-00830,2025-06-10,4666000,SUCCESS
O-000041,C-00839,2025-06-21,2807000,SUCCESS
O-000042,C-00170,2025-06-12,121000,SUCCESS
O-000043,C-01833,2025-06-30,2379000,SUCCESS
O-000044,C-01499,2025-06-08,2592000,SUCCESS
O-000045,C-00224,2025-06-27,510000,SUCCESS
O-000046,C-01753,2025-06-21,4484000,SUCCESS
O-000047,C-00495,2025-06-20,2353000,SUCCESS
O-000048,C-00604,2025-06-18,860000,SUCCESS
O-000049,C-01335,2025-06-29,137000,SUCCESS
O-000050,C-00244,2025-06-18,1999000,SUCCESS
O-000051,C-00543,2025-06-26,2153000,SUCCESS
O-000052,C-01807,2025-06-30,4410000,SUCCESS
O-000053,C-01801,2025-06-06,1065000,SUCCESS
O-000054,C-01569,2025-06-05,424000,SUCCESS
O-000055,C-01943,2025-06-26,1813000,FAILED
O-000056,C-00261,2025-06-29,1286000,SUCCESS
O-000057,C-00483,2025-06-25,524000,SUCCESS
O-000058,C-00439,2025-06-15,1485000,SUCCESS
O-000059,C-01094,2025-06-04,803000,SUCCESS
O-000060,C-00535,2025-06-06,3701000,SUCCESS
O-000061,C-01910,2025-06-14,368000,SUCCESS
O-000062,C-00854,2025-06-04,804000,FAILED
O-000063,C-00399,2025-06-02,4704000,SUCCESS
O-000064,C-01351,2025-06-19,2783000,SUCCESS
O-000065,C-00843,2025-06-23,3368000,SUCCESS
O-000066,C-01798,2025-06-22,1896000,SUCCESS
O-000067,C-00963,2025-06-26,3783000,SUCCESS
O-000068,C-00457,2025-06-29,1544000,SUCCESS
O-000069,C-01683,2025-06-16,2353000,SUCCESS
O-000070,C-00983,2025-06-02,2199000,SUCCESS
O-000071,C-01683,2025-06-02,332000,SUCCESS
O-000072,C-01661,2025-06-03,2923000,SUCCESS
O-000073,C-00817,2025-06-28,2002000,SUCCESS
O-000074,C-01405,2025-06-08,579000,SUCCESS
O-000075,C-00883,2025-06-29,4186000,SUCCESS
