productId,name,brand,category,price,stock,description
P-00001,Razer Balo V2,Razer,Balo,4280000,239,San pham chat luong cao
P-00002,Razer Ong Nhom Premium,Razer,Ong Nhom,1950000,221,San pham chat luong cao
P-00003,Anker Dong Ho Sport,Anker,Dong Ho,748000,164,San pham chat luong cao
P-00004,Apple Quat Mini Sport,Apple,Quat Mini,4203000,58,San pham chat luong cao
P-00005,Logitech Balo Sport,Logitech,Balo,807000,132,San pham chat luong cao
P-00006,Asus Giay Classic,Asus,Giay,4231000,495,San pham chat luong cao
P-00007,Asus Cap Sac Ultra,Asus,Cap Sac,582000,335,San pham chat luong cao
P-00008,HP Monitor Sport,HP,Monitor,246000,320,San pham chat luong cao
P-00009,Razer Quat Mini Plus,Razer,Quat Mini,3892000,258,San pham chat luong cao
P-00010,Apple Tai Nghe Plus,Apple,Tai Nghe,2560000,405,San pham chat luong cao
P-00011,Asus Giay Mini,Asus,Giay,937000,143,San pham chat luong cao
P-00012,Logitech Laptop Sport,Logitech,Laptop,1486000,280,San pham chat luong cao
P-00013,Samsung Monitor XL,Samsung,Monitor,4749000,486,San pham chat luong cao
P-00014,JBL Giay V2,JBL,Giay,4472000,441,San pham chat luong cao
P-00015,Apple Dong Ho Premium,Apple,Dong Ho,3318000,453,San pham chat luong cao
P-00016,Apple May Anh Plus,Apple,May Anh,3260000,422,San pham chat luong cao
P-00017,Samsung Quat Mini XL,Samsung,Quat Mini,1018000,52,San pham chat luong cao
P-00018,Anker Cap Sac Sport,Anker,Cap Sac,736000,112,San pham chat luong cao
P-00019,Xiaomi May Anh Plus,Xiaomi,May Anh,3474000,154,San pham chat luong cao
P-00020,Samsung Cap Sac XL,Samsung,Cap Sac,2040000,321,San pham chat luong cao
P-00021,JBL Balo Premium,JBL,Balo,1033000,140,San pham chat luong cao
P-00022,Anker Dong Ho V2,Anker,Dong Ho,134000,228,San pham chat luong cao
P-00023,Samsung Tai Nghe Ultra,Samsung,Tai Nghe,1909000,493,San pham chat luong cao
P-00024,HP Webcam Ultra,HP,Webcam,200000,107,San pham chat luong cao
P-00025,JBL Ong Nhom Ultra,JBL,Ong Nhom,2249000,99,San pham chat luong cao
P-00026,Razer May Anh V2,Razer,May Anh,3652000,161,San pham chat luong cao
P-00027,Anker Webcam Plus,Anker,Webcam,4462000,445,San pham chat luong cao
P-00028,Razer Ong Nhom Mini,Razer,Ong Nhom,4307000,490,San pham chat luong cao
P-00029,Logitech Loa V2,Logitech,Loa,2366000,358,San pham chat luong cao
P-00030,Logitech Kinh Mat Mini,Logitech,Kinh Mat,2773000,367,San pham chat luong cao
P-00031,Razer Kinh Mat Mini,Razer,Kinh Mat,4233000,289,San pham chat luong cao
P-00032,Samsung Quat Mini Premium,Samsung,Quat Mini,2604000,172,San pham chat luong cao
P-00033,HP Monitor V2,HP,Monitor,4407000,497,San pham chat luong cao
P-00034,JBL USB Hub Classic,JBL,USB Hub,3343000,272,San pham chat luong cao
P-00035,Asus Chuot Gaming Classic,Asus,Chuot Gaming,3391000,45,San pham chat luong cao
P-00036,Samsung Op Lung Plus,Samsung,Op Lung,778000,493,San pham chat luong cao
P-00037,Razer Tablet V2,Razer,Tablet,3686000,164,San pham chat luong cao
P-00038,Sony Quat Mini V2,Sony,Quat Mini,682000,273,San pham chat luong cao
P-00039,Xiaomi May Anh Pro Max,Xiaomi,May Anh,3838000,150,San pham chat luong cao
P-00040,Razer Kinh Mat Ultra,Razer,Kinh Mat,2532000,163,San pham chat luong cao
P-00041,Logitech Quat Mini Mini,Logitech,Quat Mini,2277000,455,San pham chat luong cao
P-00042,HP May Anh XL,HP,May Anh,4396000,256,San pham chat luong cao
P-00043,JBL USB Hub V2,JBL,USB Hub,260000,246,San pham chat luong cao
P-00044,Anker Balo Sport,Anker,Balo,4161000,418,San pham chat luong cao
P-00045,JBL Balo Mini,JBL,Balo,2555000,342,San pham chat luong cao
P-00046,Logitech Ban Phim Pro Max,Logitech,Ban Phim,1875000,44,San pham chat luong cao
P-00047,Asus Balo Plus,Asus,Balo,3162000,59,San pham chat luong cao
P-00048,Xiaomi Balo Ultra,Xiaomi,Balo,4119000,177,San pham chat luong cao
P-00049,Sony Op Lung Ultra,Sony,Op Lung,3857000,232,San pham chat luong cao
P-00050,HP Quat Mini Plus,HP,Quat Mini,1424000,236,San pham chat luong cao
P-00051,Apple Giay Pro Max,Apple,Giay,2386000,363,San pham chat luong cao
P-00052,Asus Op Lung Lite,Asus,Op Lung,417000,314,San pham chat luong cao
P-00053,Anker Dong Ho Lite,Anker,Dong Ho,417000,470,San pham chat luong cao
P-00054,Anker Quat Mini Premium,Anker,Quat Mini,4914000,432,San pham chat luong cao
P-00055,JBL Quat Mini Premium,JBL,Quat Mini,1397000,465,San pham chat luong cao
P-00056,Logitech Kinh Mat Classic,Logitech,Kinh Mat,2428000,147,San pham chat luong cao
P-00057,Asus Giay XL,Asus,Giay,688000,103,San pham chat luong cao
P-00058,Apple Op Lung Classic,Apple,Op Lung,2512000,319,San pham chat luong cao
P-00059,Razer Tablet Premium,Razer,Tablet,718000,312,San pham chat luong cao
P-00060,Samsung Balo XL,Samsung,Balo,1057000,373,San pham chat luong cao
P-00061,Sony Cap Sac V2,Sony,Cap Sac,841000,403,San pham chat luong cao
P-00062,Razer Tai Nghe Ultra,Razer,Tai Nghe,352000,238,San pham chat luong cao
P-00063,Apple Ong Nhom Lite,Apple,Ong Nhom,3284000,316,San pham chat luong cao
P-00064,Razer Tai Nghe V2,Razer,Tai Nghe,2084000,231,San pham chat luong cao
P-00065,Anker Ao Thun Pro Max,Anker,Ao Thun,275000,284,San pham chat luong cao
P-00066,Sony Monitor Lite,Sony,Monitor,2201000,431,San pham chat luong cao
P-00067,Asus Ao Thun Sport,Asus,Ao Thun,2142000,255,San pham chat luong cao
P-00068,Apple Dong Ho Classic,Apple,Dong Ho,4844000,438,San pham chat luong cao
P-00069,Razer Sac Du Phong Mini,Razer,Sac Du Phong,1580000,141,San pham chat luong cao
P-00070,Xiaomi Tai Nghe Pro Max,Xiaomi,Tai Nghe,441000,226,San pham chat luong cao
P-00071,Sony Dong Ho XL,Sony,Dong Ho,3185000,128,San pham chat luong cao
P-00072,HP Tai Nghe Premium,HP,Tai Nghe,3241000,320,San pham chat luong cao
P-00073,Razer Giay Lite,Razer,Giay,3580000,301,San pham chat luong cao
P-00074,Razer Tablet Sport,Razer,Tablet,3327000,312,San pham chat luong cao
P-00075,JBL Kinh Mat XL,JBL,Kinh Mat,4363000,252,San pham chat luong cao
P-00076,Asus Quat Mini Pro Max,Asus,Quat Mini,2354000,252,San pham chat luong cao
P-00077,Asus Webcam Classic,Asus,Webcam,2676000,324,San pham chat luong cao
P-00078,Asus Op Lung Pro Max,Asus,Op Lung,4803000,172,San pham chat luong cao
P-00079,Asus Ban Phim Mini,Asus,Ban Phim,4018000,423,San pham chat luong cao
P-00080,Sony Ban Phim Mini,Sony,Ban Phim,4169000,42,San pham chat luong cao
P-00081,Samsung Tablet Plus,Samsung,Tablet,4653000,199,San pham chat luong cao
P-00082,HP Tablet V2,HP,Tablet,2736000,287,San pham chat luong cao
P-00083,Samsung May Anh Plus,Samsung,May Anh,1897000,169,San pham chat luong cao
P-00084,Logitech USB Hub XL,Logitech,USB Hub,1914000,341,San pham chat luong cao
P-00085,Samsung May Anh Mini,Samsung,May Anh,833000,342,San pham chat luong cao
P-00086,Sony Dong Ho Lite,Sony,Dong Ho,1274000,327,San pham chat luong cao
P-00087,Anker Sac Du Phong Classic,Anker,Sac Du Phong,172000,54,San pham chat luong cao
P-00088,Logitech Ban Phim V2,Logitech,Ban Phim,2236000,73,San pham chat luong cao
P-00089,Anker Tablet Ultra,Anker,Tablet,3165000,42,San pham chat luong cao
P-00090,Anker Op Lung Ultra,Anker,Op Lung,1983000,288,San pham chat luong cao
P-00091,Razer Webcam Pro Max,Razer,Webcam,3154000,183,San pham chat luong cao
P-00092,Anker Webcam Premium,Anker,Webcam,1121000,155,San pham chat luong cao
P-00093,Razer Tablet Plus,Razer,Tablet,3969000,452,San pham chat luong cao
P-00094,Sony Chuot Gaming Classic,Sony,Chuot Gaming,52000,261,San pham chat luong cao
P-00095,HP Quat Mini V2,HP,Quat Mini,4726000,46,San pham chat luong cao
P-00096,HP Cap Sac XL,HP,Cap Sac,257000,90,San pham chat luong cao
P-00097,Samsung Loa Plus,Samsung,Loa,2642000,77,San pham chat luong cao
P-00098,Razer Ao Thun Sport,Razer,Ao Thun,1175000,247,San pham chat luong cao
P-00099,Anker Monitor Classic,Anker,Monitor,1865000,114,San pham chat luong cao
P-00100,Razer Ban Phim Classic,Razer,Ban Phim,392000,425,San pham chat luong cao
P-00101,Apple Giay Plus,Apple,Giay,2684000,139,San pham chat luong cao
P-00102,Sony Quat Mini Ultra,Sony,Quat Mini,924000,219,San pham chat luong cao
P-00103,Anker Laptop Plus,Anker,Laptop,3921000,320,San pham chat luong cao
P-00104,Xiaomi Sac Du Phong Sport,Xiaomi,Sac Du Phong,70000,412,San pham chat luong cao
P-00105,Anker Kinh Mat Classic,Anker,Kinh Mat,4137000,486,San pham chat luong cao
P-00106,Logitech Monitor Sport,Logitech,Monitor,1208000,154,San pham chat luong cao
P-00107,Samsung Sac Du Phong Pro Max,Samsung,Sac Du Phong,4297000,59,San pham chat luong cao
P-00108,Sony Chuot Gaming Mini,Sony,Chuot Gaming,3640000,88,San pham chat luong cao
P-00109,Xiaomi Op Lung Premium,Xiaomi,Op Lung,2687000,284,San pham chat luong cao
P-00110,Anker USB Hub XL,Anker,USB Hub,1584000,426,San pham chat luong cao
P-00111,Apple Loa Ultra,Apple,Loa,970000,437,San pham chat luong cao
P-00112,Asus Loa Lite,Asus,Loa,3961000,37,San pham chat luong cao
P-00113,Anker Dong Ho V2,Anker,Dong Ho,209000,67,San pham chat luong cao
P-00114,HP Balo V2,HP,Balo,2220000,99,San pham chat luong cao
P-00115,Razer Ban Phim Classic,Razer,Ban Phim,2749000,458,San pham chat luong cao
P-00116,Xiaomi Chuot Gaming Classic,Xiaomi,Chuot Gaming,965000,69,San pham chat luong cao
P-00117,Xiaomi Giay Pro Max,Xiaomi,Giay,1256000,323,San pham chat luong cao
P-00118,Razer Tai Nghe Mini,Razer,Tai Nghe,288000,475,San pham chat luong cao
P-00119,Logitech Ong Nhom Classic,Logitech,Ong Nhom,1864000,241,San pham chat luong cao
