voucherId,code,type,value,maxDiscount,minOrderAmount,remainingUses
V-00001,SHOPEE10,PERCENTAGE,10,50000,0,1000
V-00002,FREESHIP,FIXED,30000,30000,100000,1000
V-00003,GOLDVIP,FIXED,50000,50000,150000,500
V-00004,DIAMONDSALE,PERCENTAGE,20,100000,200000,500
V-00005,CHAOHE,PERCENTAGE,15,30000,50000,2000
V-00006,SALE42,FIXED,45000,45000,58000,141
V-00007,SALE34,FIXED,36000,36000,16000,260
V-00008,SALE48,FIXED,40000,40000,111000,113
V-00009,SALE18,PERCENTAGE,14,36000,98000,343
V-00010,SALE13,FIXED,18000,18000,81000,289
