eventId,name,startTime,endTime,status,unlockTime
EV-001,Flash Sale 01,2026-07-18 07:52:00,2026-07-18 09:22:00,ENDED,
EV-002,Flash Sale 02,2026-07-19 11:00:00,2026-07-19 13:00:00,UPCOMING,
EV-003,Flash Sale 03,2026-07-20 12:00:00,2026-07-20 13:00:00,UPCOMING,
EV-004,Flash Sale 04,2026-07-21 13:00:00,2026-07-21 14:30:00,UPCOMING,
EV-005,Flash Sale 05,2026-07-22 14:00:00,2026-07-22 16:00:00,UPCOMING,
EV-006,Flash Sale 06,2026-07-23 15:00:00,2026-07-23 16:00:00,UPCOMING,
EV-007,Flash Sale 07,2026-07-24 16:00:00,2026-07-24 17:30:00,UPCOMING,
EV-008,Flash Sale 08,2026-07-25 17:00:00,2026-07-25 19:00:00,UPCOMING,
EV-009,Flash Sale 09,2026-07-26 18:00:00,2026-07-26 19:00:00,UPCOMING,
EV-010,Flash Sale 10,2026-07-27 09:00:00,2026-07-27 10:30:00,UPCOMING,
