itemId,productId,eventId,productName,originalPrice,salePrice,initialStock,soldQty,remainingStock,version
FI-00001,P-04625,EV-001,Asus Quat Mini XL,925000,483894,127,0,127,0
FI-00002,P-03045,EV-009,JBL Laptop Classic,1521000,517245,129,0,129,0
FI-00003,P-01995,EV-006,Sony Balo V2,273000,91158,55,0,55,0
FI-00004,P-01772,EV-008,Asus Quat Mini Classic,2540000,826344,54,0,54,0
FI-00005,P-01483,EV-010,Xiaomi Sac Du Phong Plus,1603000,635902,139,0,139,0
FI-00006,P-00493,EV-002,Xiaomi Quat Mini Pro Max,2610000,1606748,150,0,150,0
FI-00007,P-00477,EV-008,Razer Quat Mini Mini,2486000,1660462,160,0,160,0
FI-00008,P-04292,EV-007,Sony Tablet Sport,1683000,897507,177,0,177,0
FI-00009,P-01824,EV-003,Razer May Anh V2,351000,130982,159,0,159,0
FI-00010,P-03363,EV-007,Razer Tablet Ultra,2000000,946053,37,0,37,0
FI-00011,P-01111,EV-001,Apple Op Lung Sport,1206000,545381,123,0,123,0
FI-00012,P-03115,EV-004,Asus USB Hub XL,2144000,1085544,180,0,180,0
FI-00013,P-00073,EV-004,Razer Laptop Mini,2341000,1279273,131,0,131,0
FI-00014,P-01289,EV-008,JBL Kinh Mat Classic,1606000,935502,100,0,100,0
FI-00015,P-03591,EV-007,Apple Chuot Gaming Plus,993000,412841,111,0,111,0
FI-00016,P-00266,EV-001,Asus Tablet Premium,2422000,1482767,26,0,26,0
FI-00017,P-01709,EV-007,Apple Sac Du Phong V2,2509000,1413781,26,0,26,0
FI-00018,P-04979,EV-004,Apple Monitor Premium,2811000,1201445,66,0,66,0
FI-00019,P-02940,EV-004,Xiaomi Dong Ho Premium,2770000,1013044,40,0,40,0
FI-00020,P-02653,EV-004,Apple Cap Sac Classic,1676000,694344,139,0,139,0
FI-00021,P-00743,EV-008,Asus Sac Du Phong Lite,932000,469115,200,0,200,0
FI-00022,P-01831,EV-002,Apple Dong Ho Premium,2022000,1383780,176,0,176,0
FI-00023,P-02767,EV-006,Apple Op Lung Pro Max,1431000,573946,198,0,198,0
FI-00024,P-00340,EV-001,Anker Op Lung Classic,361000,241384,145,0,145,0
FI-00025,P-03957,EV-007,Sony Kinh Mat Lite,1069000,487586,99,0,99,0
FI-00026,P-02401,EV-006,Anker Sac Du Phong Ultra,220000,148782,188,0,188,0
FI-00027,P-02637,EV-007,Samsung Webcam V2,1779000,570043,196,0,196,0
FI-00028,P-04319,EV-008,HP Quat Mini Lite,2556000,1654377,155,0,155,0
FI-00029,P-00995,EV-007,Xiaomi Monitor Premium,2950000,1091183,27,0,27,0
FI-00030,P-02825,EV-009,Razer Loa Mini,2610000,1173564,94,0,94,0
