detailId,orderId,productId,quantity,unitPrice,subtotal
D-000001,O-00001,P-04089,1,2649000,2649000
D-000002,O-00002,P-01413,1,2074000,2074000
D-000003,O-00003,P-00087,2,1314000,2628000
D-000004,O-00004,P-03113,2,679000,1358000
D-000005,O-00005,P-00585,2,1632000,3264000
D-000006,O-00006,P-04023,2,1084000,2168000
D-000007,O-00007,P-02777,2,1625000,3250000
D-000008,O-00008,P-00548,2,994000,1988000
D-000009,O-00009,P-02632,1,1898000,1898000
D-000010,O-00010,P-01829,1,811000,811000
D-000011,O-00011,P-04853,2,1759000,3518000
D-000012,O-00012,P-00022,1,2911000,2911000
D-000013,O-00013,P-01617,2,694000,1388000
D-000014,O-00014,P-01269,1,2158000,2158000
D-000015,O-00015,P-01966,2,2825000,5650000
D-000016,O-00016,P-04455,1,1222000,1222000
D-000017,O-00017,P-04782,1,825000,825000
D-000018,O-00018,P-02164,2,2353000,4706000
D-000019,O-00019,P-00674,1,2297000,2297000
D-000020,O-00020,P-02070,2,1821000,3642000
D-000021,O-00021,P-04064,1,2959000,2959000
D-000022,O-00022,P-01568,1,621000,621000
D-000023,O-00023,P-01218,2,2371000,4742000
D-000024,O-00024,P-02897,1,1089000,1089000
D-000025,O-00025,P-03024,2,2372000,4744000
D-000026,O-00026,P-04381,2,107000,214000
D-000027,O-00027,P-02701,2,651000,1302000
D-000028,O-00028,P-03101,1,1951000,1951000
D-000029,O-00029,P-02310,2,2872000,5744000
D-000030,O-00030,P-00705,2,2134000,4268000
D-000031,O-00031,P-02687,2,1330000,2660000
D-000032,O-00032,P-04412,2,1789000,3578000
D-000033,O-00033,P-01049,1,545000,545000
D-000034,O-00034,P-04959,1,1222000,1222000
D-000035,O-00035,P-00492,2,372000,744000
D-000036,O-00036,P-00466,2,2841000,5682000
D-000037,O-00037,P-03955,2,2769000,5538000
D-000038,O-00038,P-00492,2,2441000,4882000
D-000039,O-00039,P-00569,2,1279000,2558000
D-000040,O-00040,P-00524,1,1295000,1295000
D-000041,O-00041,P-01605,2,294000,588000
D-000042,O-00042,P-02811,1,910000,910000
D-000043,O-00043,P-01327,1,2844000,2844000
D-000044,O-00044,P-04377,1,2143000,2143000
D-000045,O-00045,P-03739,2,56000,112000
D-000046,O-00046,P-00264,1,327000,327000
D-000047,O-00047,P-03502,2,2586000,5172000
D-000048,O-00048,P-00778,1,413000,413000
D-000049,O-00049,P-00314,1,2931000,2931000
D-000050,O-00050,P-01642,2,1456000,2912000
D-000051,O-00051,P-00295,1,2518000,2518000
D-000052,O-00052,P-04633,2,2805000,5610000
D-000053,O-00053,P-04025,2,2543000,5086000
D-000054,O-00054,P-03535,1,1269000,1269000
D-000055,O-00055,P-02059,2,1583000,3166000
D-000056,O-00056,P-00204,2,1907000,3814000
D-000057,O-00057,P-04693,2,345000,690000
D-000058,O-00058,P-02725,2,2122000,4244000
D-000059,O-00059,P-02361,1,2617000,2617000
D-000060,O-00060,P-04330,1,66000,66000
D-000061,O-00061,P-02741,1,2108000,2108000
D-000062,O-00062,P-01181,1,2385000,2385000
D-000063,O-00063,P-01342,1,1700000,1700000
D-000064,O-00064,P-04910,2,2430000,4860000
