productId,name,brand,category,price,stock,description,version
P-00001,Razer Tai Nghe Classic,Razer,Tai Nghe,1677000,102,San pham chat luong cao,0
P-00002,Sony Giay Lite,Sony,Giay,4302000,281,San pham chat luong cao,0
P-00003,Anker Op Lung Pro Max,Anker,Op Lung,3495000,493,San pham chat luong cao,0
P-00004,JBL Monitor Lite,JBL,Monitor,4704000,450,San pham chat luong cao,0
P-00005,JBL Tai Nghe Classic,JBL,Tai Nghe,450000,481,San pham chat luong cao,0
P-00006,Razer Op Lung V2,Razer,Op Lung,3803000,131,San pham chat luong cao,0
P-00007,Anker Tablet Mini,Anker,Tablet,4355000,103,San pham chat luong cao,0
P-00008,Asus Tai Nghe Classic,Asus,Tai Nghe,780000,165,San pham chat luong cao,0
P-00009,Sony Op Lung XL,Sony,Op Lung,1138000,291,San pham chat luong cao,0
P-00010,Logitech Loa Sport,Logitech,Loa,2752000,383,San pham chat luong cao,0
P-00011,Razer Tablet Classic,Razer,Tablet,831000,486,San pham chat luong cao,0
P-00012,Anker Ao Thun V2,Anker,Ao Thun,4689000,226,San pham chat luong cao,0
P-00013,Asus Ao Thun Lite,Asus,Ao Thun,4653000,445,San pham chat luong cao,0
P-00014,Asus Quat Mini Sport,Asus,Quat Mini,3577000,264,San pham chat luong cao,0
P-00015,Asus Tai Nghe V2,Asus,Tai Nghe,1719000,79,San pham chat luong cao,0
P-00016,HP Laptop Premium,HP,Laptop,1839000,403,San pham chat luong cao,0
P-00017,Samsung Sac Du Phong Mini,Samsung,Sac Du Phong,1330000,320,San pham chat luong cao,0
P-00018,Asus Ao Thun Ultra,Asus,Ao Thun,1472000,212,San pham chat luong cao,0
P-00019,JBL Giay V2,JBL,Giay,4554000,148,San pham chat luong cao,0
P-00020,Apple Kinh Mat Ultra,Apple,Kinh Mat,402000,316,San pham chat luong cao,0
P-00021,Logitech Chuot Gaming XL,Logitech,Chuot Gaming,1021000,216,San pham chat luong cao,0
P-00022,Xiaomi Laptop Sport,Xiaomi,Laptop,2657000,215,San pham chat luong cao,0
P-00023,Anker Loa Ultra,Anker,Loa,3131000,385,San pham chat luong cao,0
P-00024,Anker USB Hub Pro Max,Anker,USB Hub,4196000,72,San pham chat luong cao,0
P-00025,Logitech Tablet Lite,Logitech,Tablet,1382000,192,San pham chat luong cao,0
P-00026,Apple Chuot Gaming Sport,Apple,Chuot Gaming,2691000,197,San pham chat luong cao,0
P-00027,Anker Tablet Lite,Anker,Tablet,3726000,220,San pham chat luong cao,0
P-00028,Samsung Ban Phim XL,Samsung,Ban Phim,3470000,155,San pham chat luong cao,0
P-00029,Anker Monitor XL,Anker,Monitor,245000,319,San pham chat luong cao,0
P-00030,HP Giay Ultra,HP,Giay,1616000,445,San pham chat luong cao,0
P-00031,Razer Tablet Premium,Razer,Tablet,2842000,68,San pham chat luong cao,0
P-00032,Anker Sac Du Phong Ultra,Anker,Sac Du Phong,4945000,201,San pham chat luong cao,0
P-00033,Asus Ban Phim XL,Asus,Ban Phim,4165000,30,San pham chat luong cao,0
P-00034,Apple Op Lung Ultra,Apple,Op Lung,1044000,93,San pham chat luong cao,0
P-00035,Sony Balo V2,Sony,Balo,2685000,195,San pham chat luong cao,0
P-00036,Anker Balo Classic,Anker,Balo,417000,497,San pham chat luong cao,0
P-00037,Asus Tai Nghe V2,Asus,Tai Nghe,3790000,92,San pham chat luong cao,0
P-00038,JBL USB Hub Ultra,JBL,USB Hub,3617000,476,San pham chat luong cao,0
P-00039,HP Loa Ultra,HP,Loa,3759000,395,San pham chat luong cao,0
P-00040,Anker USB Hub Plus,Anker,USB Hub,3517000,441,San pham chat luong cao,0
P-00041,JBL Monitor Pro Max,JBL,Monitor,4424000,274,San pham chat luong cao,0
P-00042,Sony Balo Premium,Sony,Balo,2003000,204,San pham chat luong cao,0
P-00043,Anker Ao Thun Classic,Anker,Ao Thun,2833000,375,San pham chat luong cao,0
P-00044,Anker Loa Ultra,Anker,Loa,1112000,490,San pham chat luong cao,0
P-00045,Samsung May Anh Premium,Samsung,May Anh,4772000,17,San pham chat luong cao,0
P-00046,Asus Op Lung Ultra,Asus,Op Lung,1814000,375,San pham chat luong cao,0
P-00047,Asus Sac Du Phong Plus,Asus,Sac Du Phong,4068000,148,San pham chat luong cao,0
P-00048,Samsung Giay Premium,Samsung,Giay,1343000,155,San pham chat luong cao,0
P-00049,Razer Laptop V2,Razer,Laptop,180000,492,San pham chat luong cao,0
P-00050,Apple Dong Ho Sport,Apple,Dong Ho,3955000,71,San pham chat luong cao,0
P-00051,Razer Quat Mini Classic,Razer,Quat Mini,2875000,120,San pham chat luong cao,0
P-00052,HP Quat Mini Classic,HP,Quat Mini,143000,372,San pham chat luong cao,0
P-00053,HP Balo V2,HP,Balo,2847000,290,San pham chat luong cao,0
P-00054,JBL Cap Sac Pro Max,JBL,Cap Sac,3743000,385,San pham chat luong cao,0
P-00055,Samsung Webcam Sport,Samsung,Webcam,2284000,222,San pham chat luong cao,0
P-00056,Anker Chuot Gaming V2,Anker,Chuot Gaming,865000,301,San pham chat luong cao,0
P-00057,Apple Chuot Gaming Lite,Apple,Chuot Gaming,4396000,259,San pham chat luong cao,0
P-00058,JBL Ong Nhom Classic,JBL,Ong Nhom,4138000,374,San pham chat luong cao,0
P-00059,Xiaomi Loa Pro Max,Xiaomi,Loa,1757000,274,San pham chat luong cao,0
P-00060,Razer Kinh Mat Classic,Razer,Kinh Mat,3968000,221,San pham chat luong cao,0
P-00061,Razer Dong Ho Classic,Razer,Dong Ho,419000,308,San pham chat luong cao,0
P-00062,Razer Op Lung XL,Razer,Op Lung,2596000,339,San pham chat luong cao,0
P-00063,HP Laptop Mini,HP,Laptop,3007000,90,San pham chat luong cao,0
P-00064,Xiaomi Sac Du Phong Ultra,Xiaomi,Sac Du Phong,3589000,346,San pham chat luong cao,0
P-00065,Xiaomi Balo Pro Max,Xiaomi,Balo,644000,166,San pham chat luong cao,0
P-00066,Logitech Cap Sac XL,Logitech,Cap Sac,3011000,276,San pham chat luong cao,0
P-00067,Apple Ao Thun XL,Apple,Ao Thun,2098000,68,San pham chat luong cao,0
P-00068,Samsung Ban Phim Classic,Samsung,Ban Phim,4600000,461,San pham chat luong cao,0
P-00069,Apple Balo XL,Apple,Balo,1821000,403,San pham chat luong cao,0
P-00070,JBL Tai Nghe Mini,JBL,Tai Nghe,2925000,226,San pham chat luong cao,0
P-00071,Apple Quat Mini Ultra,Apple,Quat Mini,4803000,93,San pham chat luong cao,0
P-00072,Razer Webcam Classic,Razer,Webcam,4938000,73,San pham chat luong cao,0
P-00073,Razer Chuot Gaming Plus,Razer,Chuot Gaming,2919000,429,San pham chat luong cao,0
P-00074,JBL Balo XL,JBL,Balo,4956000,255,San pham chat luong cao,0
P-00075,Xiaomi USB Hub Classic,Xiaomi,USB Hub,2486000,392,San pham chat luong cao,0
P-00076,Samsung Ong Nhom Mini,Samsung,Ong Nhom,1272000,112,San pham chat luong cao,0
P-00077,JBL Kinh Mat Classic,JBL,Kinh Mat,605000,142,San pham chat luong cao,0
P-00078,Asus Ao Thun XL,Asus,Ao Thun,2124000,236,San pham chat luong cao,0
P-00079,Logitech Kinh Mat Sport,Logitech,Kinh Mat,708000,302,San pham chat luong cao,0
P-00080,HP Giay Premium,HP,Giay,1149000,321,San pham chat luong cao,0
P-00081,Anker Ban Phim Mini,Anker,Ban Phim,137000,97,San pham chat luong cao,0
P-00082,Anker Quat Mini Pro Max,Anker,Quat Mini,4739000,35,San pham chat luong cao,0
P-00083,Logitech Cap Sac XL,Logitech,Cap Sac,3459000,331,San pham chat luong cao,0
P-00084,Samsung Loa Lite,Samsung,Loa,624000,408,San pham chat luong cao,0
P-00085,Logitech Quat Mini Premium,Logitech,Quat Mini,2692000,164,San pham chat luong cao,0
P-00086,Apple Monitor Classic,Apple,Monitor,670000,397,San pham chat luong cao,0
P-00087,Xiaomi Laptop Plus,Xiaomi,Laptop,1104000,490,San pham chat luong cao,0
P-00088,Apple Loa Plus,Apple,Loa,3487000,45,San pham chat luong cao,0
P-00089,Sony Sac Du Phong Ultra,Sony,Sac Du Phong,139000,121,San pham chat luong cao,0
P-00090,HP Ao Thun Plus,HP,Ao Thun,1827000,469,San pham chat luong cao,0
P-00091,Razer Tablet Ultra,Razer,Tablet,4214000,172,San pham chat luong cao,0
P-00092,Logitech Laptop V2,Logitech,Laptop,4960000,154,San pham chat luong cao,0
P-00093,Logitech May Anh Classic,Logitech,May Anh,2238000,294,San pham chat luong cao,0
P-00094,Xiaomi Laptop V2,Xiaomi,Laptop,900000,434,San pham chat luong cao,0
P-00095,Razer Sac Du Phong Mini,Razer,Sac Du Phong,202000,298,San pham chat luong cao,0
P-00096,Apple Tablet XL,Apple,Tablet,1280000,432,San pham chat luong cao,0
P-00097,Samsung Kinh Mat Plus,Samsung,Kinh Mat,337000,500,San pham chat luong cao,0
P-00098,HP May Anh Classic,HP,May Anh,660000,362,San pham chat luong cao,0
P-00099,Apple Giay Lite,Apple,Giay,760000,225,San pham chat luong cao,0
P-00100,JBL Monitor XL,JBL,Monitor,2770000,126,San pham chat luong cao,0
P-00101,Anker Tai Nghe Pro Max,Anker,Tai Nghe,3824000,375,San pham chat luong cao,0
P-00102,Apple Tai Nghe Sport,Apple,Tai Nghe,2753000,211,San pham chat luong cao,0
P-00103,Sony Loa Ultra,Sony,Loa,606000,442,San pham chat luong cao,0
P-00104,Razer Sac Du Phong Premium,Razer,Sac Du Phong,1927000,225,San pham chat luong cao,0
P-00105,Xiaomi May Anh Classic,Xiaomi,May Anh,388000,252,San pham chat luong cao,0
P-00106,Apple Giay Mini,Apple,Giay,4477000,442,San pham chat luong cao,0
P-00107,Sony Ao Thun Sport,Sony,Ao Thun,4552000,161,San pham chat luong cao,0
P-00108,Xiaomi Sac Du Phong V2,Xiaomi,Sac Du Phong,4495000,441,San pham chat luong cao,0
P-00109,Samsung Op Lung Lite,Samsung,Op Lung,2175000,127,San pham chat luong cao,0
P-00110,JBL Dong Ho Mini,JBL,Dong Ho,2804000,94,San pham chat luong cao,0
P-00111,Anker May Anh V2,Anker,May Anh,1908000,103,San pham chat luong cao,0
P-00112,Razer USB Hub Plus,Razer,USB Hub,2002000,117,San pham chat luong cao,0
