runNumber,lockType,totalThreads,initialStock,successCount,successfulQuantity,failedCount,finalStock,negativeStock,durationMs,retryCount,retryRatePercent,tps,dataConsistent,vsBaselinePercent,target
1,NO_LOCK,1000,2000,1000,1192,0,1998,0,2476,0,0.00,403.88,false,0.0,BASELINE
1,FILE_LOCK,1000,2000,1000,1217,0,783,0,3635,0,0.00,275.10,true,-31.9,CHUA_DAT
1,SYNCHRONIZED,1000,2000,1000,1204,0,796,0,3071,0,0.00,325.63,true,-19.4,DAT
1,OPTIMISTIC_LOCK,1000,2000,9,12,991,1988,0,2608,2985,298.50,3.45,true,-99.1,CHUA_DAT
2,NO_LOCK,1000,2000,1000,1190,0,1998,0,2651,0,0.00,377.22,false,0.0,BASELINE
2,FILE_LOCK,1000,2000,1000,1191,0,809,0,3510,0,0.00,284.90,true,-24.5,DAT
2,SYNCHRONIZED,1000,2000,1000,1215,0,785,0,3139,0,0.00,318.57,true,-15.5,DAT
2,OPTIMISTIC_LOCK,1000,2000,9,13,991,1987,0,2243,2985,298.50,4.01,true,-98.9,CHUA_DAT
3,NO_LOCK,1000,2000,1000,1210,0,1997,0,2605,0,0.00,383.88,false,0.0,BASELINE
3,FILE_LOCK,1000,2000,1000,1214,0,786,0,3406,0,0.00,293.60,true,-23.5,DAT
3,SYNCHRONIZED,1000,2000,1000,1212,0,788,0,3030,0,0.00,330.03,true,-14.0,DAT
3,OPTIMISTIC_LOCK,1000,2000,9,10,991,1990,0,2309,2985,298.50,3.90,true,-99.0,CHUA_DAT
