voucherId,code,type,value,maxDiscount,minOrderAmount,remainingUses
V-00001,SHOPEE10,PERCENTAGE,10,50000,0,1000
V-00002,FREESHIP,FIXED,30000,30000,100000,1000
V-00003,GOLDVIP,FIXED,50000,50000,150000,500
V-00004,DIAMONDSALE,PERCENTAGE,20,100000,200000,500
V-00005,CHAOHE,PERCENTAGE,15,30000,50000,2000
V-00006,SALE30,FIXED,48000,48000,81000,282
V-00007,SALE35,PERCENTAGE,19,98000,54000,486
V-00008,SALE40,FIXED,26000,26000,32000,130
V-00009,SALE45,FIXED,37000,37000,48000,383
V-00010,SALE50,FIXED,23000,23000,147000,62
